ID,PUB?,LS,,KLA,Stage,Syllabus,Pages,OLD (NESA) URL,NEW (CUR) URL,Code,Pub,Syllabus code,Outcomes code,WBS,Jira,Consultation 21/665,"Approval draft/forms
21/664","MASTER
21/663","Online
assets
21/896",Publish (CAP),Count,Comment,Backend Comment
037,NO,MS,--,TAS,11–12,Engineering Studies 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/technologies/engineering-studies-syllabus,--,ENGINEERING,2023,ENGINEERING-11–12-2023,ES,--,OC-2282,--,--,--,--,??,YES,Comment,
038,NO,MS,--,ENG,11–12,English Advanced 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-english/english-advanced-2017,--,ENGLISH-ADV,2023,ENGLISH-ADV-11–12-2023,ENADV,WBS,OC-163,--,--,--,--,Q4/2023,YES,--,
039,NO,MS,--,ENG,11–12,English EAL/D 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-english/english-eald-2017,--,ENGLISH-EALD,2023,ENGLISH-EALD-11–12-2023,ENEAL,--,OC-164,--,--,--,--,Q4/2023,YES,--,
040,NO,MS,--,ENG,11–12,English Extension 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-english/english-extension-2017,--,ENGLISH-EXT,2023,ENGLISH-EXT-11–12-2023,ENEXT,WBS,OC-165,--,--,--,--,Q4/2023,YES,TBC,
041,YES,MS,MANDATORY,ENG,K–10,English K–10 (2022),183,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/english-year-10/english-k-10,https://curriculum.nsw.edu.au/learning-areas/english/english-k-10-2022,ENGLISH,2022,ENGLISH-K–10-2022,EN,WBS,OC-58,SUB21/14422,SUB21/16956,SUB21/14405,SUB21/14313,5 Dec 2022,YES,--,
042,NO,LS,--,ENG,11–12,English Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-english/english-life-skills-2017,--,ENGLISH-LS,2023,ENGLISH-LS-11–12-2023,EN,WBS,OC-166,--,--,--,--,Q4/2023,YES,--,
043,NO,MS,--,ENG,11–12,English Standard 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-english/english-standard-2017,--,ENGLISH-STA,2023,ENGLISH-STA-11–12-2023,ENSTD,WBS,OC-167,--,--,--,--,Q4/2023,YES,--,
044,NO,MS,--,ENG,11–12,English Studies 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-english/english-studies-2017,--,ENGLISH-STU,2023,ENGLISH-STU-11–12-2023,ENSTU,WBS,OC-168,--,--,--,--,Q4/2023,YES,--,
045,YES,MS,--,TAS,11–12,Enterprise Computing 11–12 (2022),36,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/technologies/information-processes-technology-syllabus,https://curriculum.nsw.edu.au/learning-areas/tas/enterprise-computing-11-12-2022,ENT-COMPUTING,2022,ENT-COMPUTING-11–12-2022,EC,--,OC-49,SUB21/11425,SUB22/20948,SUB22/12012,SUB19/985,14 Nov 2022,YES,Comment,
046,NO,MS,--,PDHPE,11–12,Exploring Early Childhood 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/pdhpe/exploring-early-childhood,--,CHILDHOOD,2023,CHILDHOOD-11–12-2023,EE,--,OC-2283,--,--,--,--,??,YES,--,
047,NO,MS,--,TAS,11–12,Food Technology 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/technologies/food-technology-syllabus,--,FOOD-TECH,2023,FOOD-TECH-11–12-2023,FT,--,OC-2284,--,--,--,--,??,YES,--,
048,NO,MS,ELECTIVE (5),TAS,7–10,Food Technology 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/technologies/food-technology-2019,--,FOOD-TECH,2024,FOOD-TECH-7–10-2024,??,WBS,OC-2285,,,,,??,YES,,
049,NO,LS,--,TAS,11–12,Food Technology Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/technologies/technology-life-skills-courses/food-technology-life-skills,--,FOOD-TECH-LS,2023,FOOD-TECH-LS-11–12-2023,FT,--,OC-2286,--,--,--,--,??,YES,--,
050,YES,MS,--,HSIE,11–12,Geography (2022),51,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/geography,https://curriculum.nsw.edu.au/learning-areas/hsie/geography-11-12-2022,GEOGRAPHY,2022,GEOGRAPHY-11–12-2022,GE,WBS,OC-54,SUB21/14419,--,SUB22/12014,SUB19/1044,14 Nov 2022,YES,--,
051,NO,MS,ELECTIVE (5),HSIE,7–10,Geography Elective 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/hsie/geography-elective-7-10-2019,--,GEOGRAPHY-ELE,2023,GEOGRAPHY-ELE-7–10-2023,GL,--,OC-2287,SUB22/2148,--,--,--,Q4/2023,YES,--,
052,YES,LS,--,HSIE,11–12,Geography Life Skills (2022),45,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/hsie-life-skills-courses/geography-life-skills,https://curriculum.nsw.edu.au/learning-areas/hsie/geography-life-skills-11-12-2022,GEOGRAPHY-LS,2022,GEOGRAPHY-LS-11–12-2022,GE,--,OC-55,SUB21/14419,--,SUB22/12014,SUB19/1045,14 Nov 2022,YES,--,
053,NO,MS,MANDATORY,HSIE,7–10,Geography Mandatory 7–10,68,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/hsie/geography-k-10,--,GEOGRAPHY-MAN,2023,GEOGRAPHY-MAN-7–10-2023,GM,WBS,OC-170,SUB22/2149,--,--,--,Q4/2023,YES,--,
054,NO,MS,ELECTIVE (5),TAS,7–10,"Graphics Technology 7–10 (on front end, to be renamed Digital Graphics Technology 7–10)",--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/technologies/graphics-technology-2019,--,DIGITAL-GRAPHICS-TECH,2024,DIGITAL-GRAPHICS-TECH-7–10-2024,??,WBS,OC-2288,,,,,??,YES,--,
055,YES,MS,--,PDHPE,11–12,Health and Movement Science 11–12,27,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/pdhpe,https://curriculum.nsw.edu.au/learning-areas/pdhpe/health-and-movement-science-11-12-2023,HEALTH,2023,HEALTH-11–12-2023,HM,WBS,OC-52,SUB21/14420,--,SUB22/12013,SUB19/1021,"Jul 31, 2023",YES,--,
056,YES,LS,--,PDHPE,11–12,Health and Movement Science Life Skills 11–12,43,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/pdhpe/pdhpe-life-skills,https://curriculum.nsw.edu.au/learning-areas/pdhpe/health-and-movement-science-life-skills-11-12-2023,HEALTH-LS,2023,HEALTH-LS-11–12-2023,HM,WBS,OC-53,SUB21/14420,--,SUB22/12013,SUB19/1022,"Jul 31, 2023",YES,--,
057,NO,MS,ELECTIVE (5),HSIE,7–10,History Elective 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/hsie/history-elective-7-10-2019,--,HISTORY-ELE,2023,HISTORY-ELE-7–10-2023,HE,--,OC-171,SUB22/2138,--,--,--,Q4/2023,YES,--,
058,NO,MS,--,HSIE,11–12,History Extension 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/history-extension-2017,--,HISTORY-EXT,2023,HISTORY-EXT-11–12-2023,HX,WBS,OC-172,--,--,--,--,Q4/2023,YES,--,
059,NO,MS,MANDATORY,HSIE,7–10,History Mandatory 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/hsie/history-k-10,--,HISTORY-MAN,2023,HISTORY-MAN-7–10-2023,HI,WBS,OC-173,SUB22/2139,--,--,--,Q4/2023,YES,--,
060,NO,MS,MANDATORY,HSIE,K–6,Human Society and its Environment K–6,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/hsie,--,HSIE,2023,HSIE-K–6-2023,HS,--,OC-122,SUB22/2135,--,--,--,Q3/2023,YES,--,
061,NO,LS,--,HSIE,11–12,Human Society and its Environment Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/hsie-life-skills-courses/hsie-life-skills,--,HSIE-LS,2023,HSIE-LS-11–12-2023,HS,--,OC-2289,--,--,--,--,??,YES,,
062,NO,MS,--,TAS,11–12,Industrial Technology 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/technologies/industrial-technology,--,INDUSTRIAL,2023,INDUSTRIAL-11–12-2023,IT,--,https://bostes.atlassian.net/browse/OC-123,--,--,--,--,??,YES,--,
063,NO,MS,ELECTIVE (5),TAS,7–10,Industrial Technology 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/technologies/industrial-technology-2019,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NO,LISTING ONLY!!,
064,NO,LS,--,TAS,11–12,Industrial Technology Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/technologies/technology-life-skills-courses/industrial-technology-life-skills,--,INDUSTRIAL-LS,2023,INDUSTRIAL-LS-11–12-2023,IT,--,OC-2290,--,--,--,--,??,YES,--,
065,NO,MS,--,SCI,11–12,Investigating Science 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-science/investigating-science-2017,--,INV-SCIENCE,2023,INV-SCIENCE-11–12-2023,IS,--,OC-2291,--,--,--,--,??,YES,--,
066,NO,LS,--,SCI,11–12,Investigating Science Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-science/investigating-science-life-skills-2017,--,INV-SCIENCE-LS,2023,INV-SCIENCE-LS-11–12-2023,IS,--,OC-2292,--,--,--,--,??,YES,--,
067,NO,MS,--,HSIE,11–12,Legal Studies 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/legal-studies,--,LEGAL,2023,LEGAL-11–12-2023,LE,--,OC-2293,--,--,--,--,??,YES,--,
068,NO,LS,--,HSIE,11–12,Legal Studies Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/hsie-life-skills-courses/citizenship-and-legal-studies-life-skills,--,LEGAL-LS,2023,LEGAL-LS-11–12-2023,LE,--,OC-2294,--,--,--,--,??,YES,TBC,
069,NO,LS,--,SCI,11–12,Living World Science Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-science/living-world-science-life-skills-2017,--,LIVING-SCIENCE-LS,2023,LIVING-SCIENCE-LS-11–12-2023,LW,--,OC-2295,--,--,--,--,??,YES,--,
070,NO,MS,ELECTIVE (5),TAS,7–10,Marine and Aquaculture Technology 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/technologies/marine-and-aquaculture-technology-2019,--,MARINE-TECH,2023,MARINE-TECH-7–10-2023,??,WBS,OC-2296,,,,,??,YES,--,
071,NO,MS,--,TAS,11–12,Marine Studies 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/technologies/marine-studies,--,MARINE,2023,MARINE-11–12-2023,MR,--,OC-2297,--,--,--,--,??,YES,--,
072,NO,MS,--,MATHS,11–12,Mathematics Advanced 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-mathematics/mathematics-advanced-2017,--,MATHEMATICS-ADV,2023,MATHEMATICS-ADV-11–12-2023,MAADV,WBS,OC-175,--,--,--,--,Q4/2023,YES,--,
073,NO,MS,--,MATHS,11–12,Mathematics Extension 1 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-mathematics/mathematics-extension-1-2017,--,MATHEMATICS-EXI,2023,MATHEMATICS-EXI-11–12-2023,ME1,WBS,OC-176,--,--,--,--,Q4/2023,YES,??,
074,NO,MS,--,MATHS,11–12,Mathematics Extension 2 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-mathematics/mathematics-extension-2-2017,--,MATHEMATICS-EXII,2023,MATHEMATICS-EXII-11–12-2023,ME2,WBS,OC-177,--,--,--,--,Q4/2023,YES,??,
075,YES,MS,MANDATORY,MATHS,K–10,Mathematics K–10 (2022),364,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/mathematics/mathematics-k-10,https://curriculum.nsw.edu.au/learning-areas/mathematics/mathematics-k-10-2022,MATHEMATICS,2022,MATHEMATICS-K–10-2022,MA,WBS,OC-60,SUB21/14421,SUB21/16957,SUB21/14404,SUB21/14314,5 Dec 2022,YES,--,
076,NO,LS,--,MATHS,11–12,Mathematics Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-mathematics/mathematics-life-skills-2017,--,MATHEMATICS-LS,2023,MATHEMATICS-LS-11–12-2023,MA,--,OC-178,--,--,--,--,Q4/2023,YES,--,
077,NO,MS,--,MATHS,11–12,Mathematics Standard 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-mathematics/mathematics-standard-2017,--,MATHEMATICS-STA,2023,MATHEMATICS-STA-11–12-2023,MASTD,WBS,OC-179,--,--,--,--,Q4/2023,YES,--,
078,NO,MS,--,HSIE,11–12,Modern History 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/modern-history-2017,--,MODERN,2023,MODERN-11–12-2023,MH,WBS,OC-180,--,--,--,--,Q4/2023,YES,--,
079,NO,LS,--,HSIE,11–12,Modern History Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/hsie-life-skills-courses/modern-history-life-skills-2017,--,MODERN-LS,2023,MODERN-LS-11–12-2023,MH,WBS,OC-181,--,--,--,--,Q4/2023,YES,--,
080,YES,MS,MANDALECTIVES,LANG,K–10,Modern Languages K–10 (2022),56,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/languages,https://curriculum.nsw.edu.au/learning-areas/languages/modern-languages-k-10-2022,MODERN-LANG,2022,MODERN-LANG-K–10-2022,ML,WBS,OC-56,SUB22/2076,--,SUB21/14415,SUB22/20677,21 Nov 2022,YES,--,
081,NO,MS,--,ART,11–12,Music 1 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-creative-arts/music-1-syllabus,--,MUSIC-I,2023,MUSIC-I-11–12-2023,MUS1,--,OC-2298,--,--,--,--,??,YES,??,
082,NO,MS,--,ART,11–12,Music 2 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-creative-arts/music-2-syllabus,--,MUSIC-II,2023,MUSIC-II-11–12-2023,MUS2,--,OC-2299,--,--,--,--,??,YES,??,
083,NO,MS,MANDALECTIVES,ART,7–10,Music 7–10,39,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/creative-arts/music-7-10,--,MUSIC,2023,MUSIC-7–10-2023,MU,WBS,OC-182,SUB22/2151,--,--,--,6 Dec 2023,YES,--,
084,NO,MS,--,ART,11–12,Music Extension 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-creative-arts/music-extension-syllabus,--,MUSIC-EXT,2023,MUSIC-EXT-11–12-2023,MUEXT,--,OC-2300,--,--,--,--,??,YES,--,
085,NO,LS,--,ART,11–12,Music Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-creative-arts/music-life-skills,--,MUSIC-LS,2023,MUSIC-LS-11–12-2023,MU,--,OC-2301,--,--,--,--,??,YES,--,
086,NO,MS,--,MATHS,11–12,Numeracy 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-mathematics/numeracy-cec,--,NUMERACY,2023,NUMERACY-11–12-2023,NU,--,OC-2302,--,--,--,--,??,YES,--,
087,NO,MS,MANDATORY,PDHPE,K–10,"Personal Development, Health and Physical Education K–10",--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/pdhpe/pdhpe-k-10-2018,--,PDHPE,2023,PDHPE-K–10-2023,PD,WBS,OC-124,SUB22/2150,--,--,--,Q3/2023,YES,--,
088,NO,MS,ELECTIVE (4/5),ART,7–10,Photographic and Digital Media 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/creative-arts/photographic-and-digital-media-7-10,--,PHOTO-MEDIA,2023,PHOTO-MEDIA-7–10-2023,PM,WBS,OC-185,SUB22/2153,--,--,--,Q3/2023,YES,--,
089,NO,MS,--,ART,11–12,"Photography, Video and Digital Imaging 11–12",--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-creative-arts/photography-video-and-digital-imaging,--,PHOTO-VIDEO,2023,PHOTO-VIDEO-11–12-2023,PV,,OC-2303,--,--,--,--,??,YES,??,
090,NO,MS,ELECTIVE (5),PDHPE,7–10,Physical Activity and Sports Studies 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/pdhpe/physical-activity-sports-studies-7-10-2019,--,PASS,2023,PASS-7–10-2023,PA,--,OC-233,--,--,--,--,??,YES,--,
091,NO,LS,--,SCI,11–12,Physical World Science Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-science/physical-world-science-life-skills-2017,--,PHYSICAL-SCI-LS,2023,PHYSICAL-SCI-LS-11–12-2023,PW,--,OC-2304,--,--,--,--,??,YES,--,
092,NO,MS,--,SCI,11–12,Physics 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-science/physics-2017,--,PHYSICS,2023,PHYSICS-11–12-2023,PY,--,OC-2305,--,--,--,--,??,YES,--,
093,NO,MS,MANDATORY,SCI,7–10,Science 7–10,84,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/science/science-7-10-2018,--,SCIENCE,2023,SCIENCE-7–10-2023,SC,WBS,OC-186,SUB22/2155,--,--,--,6 Dec 2023,YES,--,
094,NO,MS,MANDATORY,SCI,K–6,Science and Technology K–6,27,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/science/science-and-technology-k-6-new-syllabus,--,SCI-TECH,2023,SCI-TECH-K–6-2023,ST,--,OC-125,SUB22/2136,--,--,--,Q3/2023,YES,--,
095,NO,MS,--,SCI,11–12,Science Extension 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-science/science-extension-syllabus,--,SCIENCE-EXT,2023,SCIENCE-EXT-11–12-2023,SX,--,OC-2306,--,--,--,--,??,YES,--,
096,NO,MS,--,HSIE,11–12,Society and Culture 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/society-culture,--,SOCIETY,2023,SOCIETY-11–12-2023,SO,--,OC-2307,--,--,--,--,??,YES,--,
097,NO,LS,--,HSIE,11–12,Society and Culture Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/hsie-life-skills-courses/society-and-culture-life-skills,--,SOCIETY-LS,2023,SOCIETY-LS-11–12-2023,SO,--,OC-2308,--,--,--,--,??,YES,--,
098,YES,MS,--,TAS,11–12,Software Engineering 11–12 (2022),30,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/technologies/software-design-development,https://curriculum.nsw.edu.au/learning-areas/tas/software-engineering-11-12-2022,SOFTWARE,2022,SOFTWARE-11–12-2022,SE,--,OC-51,SUB21/11426,--,SUB22/25201,SUB19/987,14 Nov 2022,YES,Comment,
099,NO,MS,--,PDHPE,11–12,"Sport, Lifestyle and Recreation Studies 11–12",--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/pdhpe/sport-lifestyle-recreation-studies,--,SPORT,2023,SPORT-11–12-2023,SP,--,OC-2317,--,--,--,--,??,YES,--,
100,NO,MS,--,HSIE,11–12,Studies of Religion 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/studies-of-religion-1,--,RELIGION,2023,RELIGION-11–12-2023,REI,--,OC-2396,--,--,--,--,??,YES,??,
